Language,Chapter ID,Chapter Name,Chapter Name (Local Script),Lesson ID,Lesson Number,Word,Translation,Pronunciation,Example,Example Translation,Difficulty
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,السلام علیکم,Peace be upon you,assalam-o-alaikum,السلام علیکم، آپ کیسے ہیں؟,"Peace be upon you, how are you?",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,وعلیکم السلام,And peace be upon you too,wa-alaikum-assalam,وعلیکم السلام، میں ٹھیک ہوں,"And peace be upon you too, I am fine",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,صبح بخیر,Good morning,subah-bakhair,صبح بخیر، آج کا دن مبارک,"Good morning, have a blessed day",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,شام بخیر,Good evening,shaam-bakhair,شام بخیر، کیسا رہا آپ کا دن؟,"Good evening, how was your day?",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,رات بخیر,Good night,raat-bakhair,رات بخیر، اچھی نیند آئے,"Good night, sleep well",easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,خوش آمدید,Welcome,khush-aamdeed,ہمارے گھر میں خوش آمدید,Welcome to our home,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,شکریہ,Thank you,shukriya,آپ کی مدد کا شکریہ,Thank you for your help,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,بہت شکریہ,Thank you very much,bohat-shukriya,آپ کی محبت کا بہت شکریہ,Thank you very much for your love,easy
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,معاف کیجیے,Excuse me / Sorry,maaf-kijiye,معاف کیجیے، کیا آپ مدد کر سکتے ہیں؟,"Excuse me, can you help?",medium
Urdu,urdu_ch1,Greetings & Polite Expressions,سلام اور آداب,urdu_ch1_lesson_1,1,کوئی بات نہیں,No problem / It's okay,koi-baat-nahi,کوئی بات نہیں، فکر نہ کریں,"No problem, don't worry",easy
